Ticker,MarketCap,BookValue,InvestmentGrowth,OperatingProfitability(%)
CL,76648715334.78,0.067,-0.02116757152443116,6462686567164.179
CMCSA,112460506739.46,26.886,0.024116208571396375,76880160678.42
FIX,51575703448.5,69.727,0.4251929843455564,1070373026.2308717
CAG,8835484203.25,16.913,0.0034320281081184722,8669071128.717556
COP,135417819040.0,52.635,0.27997164421833953,
ED,39634339114.48,66.986,0.06378616333237852,4078464156.6894574
STZ,27119089196.25,44.472,-0.15722587450421732,7565659291.239431
CEG,106817607187.2,45.953,0.04271247882107254,10549909690.335777
COO,16475872645.819998,42.057,0.006463557230089645,1623748721.972561
CPRT,35313285112.32,10.121,0.19734036216486367,16764292066.001383
GLW,119692340686.59,13.777,0.11685595817559041,16542062858.387169
CPAY,24674206351.2,55.982,0.1602958519931053,3136449215.8193703
CTVA,51320306440.0,35.92,0.049479485609308024,7291202672.60579
CSGP,21136042587.17,20.344,0.03779275087727166,23102634.68344475
COST,437331214575.97,68.262,0.10407984992338647,15210512437.373648
CTRA,23730386134.24,19.264,0.059270144501591966,7194767441.860466
CRH,82864093164.72,35.899,0.0662326992352904,13507340037.326944
CRWD,97965453784.0,15.934,0.30919308149226965,-755805196.4352956
CCI,38326507670.1,-3.759,-0.15031017208710773,-60574620909.816444
CSX,78677848165.69,7.074,0.02146665419511739,66694939214.023186
CMI,81970805888.64,89.421,0.0777425491439442,4322250925.397837
CVS,97565866421.47,59.177,0.0012755958375293723,17549047771.938423
DHR,148095550000.0,74.316,-0.08221285863081147,
DRI,25016304630.23,18.043,0.11163119314669258,7960427866.762733
DDOG,37640780521.18,10.587,0.46982550115953164,
DVA,10076149770.0,-9.498,0.01127173729675467,-21168825015.7928
DECK,16848042057.99,18.334,0.1386260719312127,6431177048.107342
DE,179584117680.42,97.299,-0.012336936265374581,8649626409.315615
DELL,40828130261.89,-3.928,-0.028979860214791906,-158783095723.01425
DAL,45353396363.52,32.1,0.07887544446213449,18137071651.090343
DVN,27533533164.8,24.965,0.2449571253572887,16595233326.657318
DXCM,28125922653.36,7.136,-0.022299329169558176,12777466367.713005
FANG,50079353320.14,136.254,1.3203337815937382,3448706093.032131
DLR,60366361201.920006,64.6,0.09113344658695101,1427453560.3715172
DG,33158706727.44,37.19,0.010947735992467234,4608964775.477279
DLTR,26747742183.37,17.264,-0.15344972415828548,8468489341.983318
D,56324119750.92,31.265,-0.0611019435276861,12301295378.218456
DPZ,12994517304.98,-112.88,0.037085221258117654,-778842133.2388377
DASH,71632729630.93,23.104,0.18507242365531876,-164473684.21052632
DOV,31465732512.06,54.916,0.07300754007463331,2500839463.908515
DOW,21899139877.44,22.319,0.021391680625348967,707917021.3719252
DHI,47546121187.4,82.601,-0.017535307428755025,5356109490.199877
DTE,30114036740.0,59.222,0.09140878114177187,3723278511.3640203
DUK,98591889978.72,65.384,0.053422125239551595,
DD,20627542382.449997,34.016,-0.04969910769869267,5376881467.544685
ETN,145020792000.0,50.039,-0.0013270191507077436,9256779711.824776
EBAY,39807640000.0,10.278,-0.10430157261794634,22553025880.5215
ECL,86148956216.48001,23.458,0.024772733514597238,
EIX,28374197509.44,44.393,0.046735487658700066,6600139661.65837
EW,46296334000.0,17.574,0.39432031784005467,
